Code Smell       | Functions should not be defined with a variable number of arguments
Bug              | Model attributes should follow the Java identifier naming convention
Code Smell       | "@Value" annotation should inject property or SpEL expression
Code Smell       | Redundant nullability annotations should be removed
Vulnerability    | Accessing files should not lead to filesystem oracle attacks
Code Smell       | The Singleton design pattern should be used with care
Vulnerability    | Environment variables should not be defined from untrusted input
Code Smell       | Methods should not perform too many tasks (aka Brain method)
Code Smell       | Classes should not depend on an excessive number of classes (aka Monster Class)
Code Smell       | Hash-based collections with known capacity should be initialized with the proper related static method.
Bug              | Accessing an array element should not trigger an ArrayIndexOutOfBoundsException
Vulnerability    | Credentials should not be hard-coded
Vulnerability    | Counter Mode initialization vectors should not be reused
Security Hotspot | Hard-coded secrets are security-sensitive
Bug              | Collections should not be modified while they are iterated
Bug              | Calls to methods should not trigger an exception
Code Smell       | Types used as keys in Maps should implement Comparable
Vulnerability    | XML operations should not be vulnerable to injection attacks
Vulnerability    | JSON operations should not be vulnerable to injection attacks
Code Smell       | Character classes in regular expressions should not contain only one character
Code Smell       | Superfluous curly brace quantifiers should be avoided
Code Smell       | Non-capturing groups without quantifier should not be used
Vulnerability    | Thread suspensions should not be vulnerable to Denial of Service attacks
Vulnerability    | Components should not be vulnerable to intent redirection
Vulnerability    | XML signatures should be validated securely
Vulnerability    | XML parsers should not be vulnerable to Denial of Service attacks
Vulnerability    | XML parsers should not load external schemas
Vulnerability    | XML parsers should not allow inclusion of arbitrary files
Security Hotspot | Enabling file access for WebViews is security-sensitive
Security Hotspot | Enabling JavaScript support for WebViews is security-sensitive
Code Smell       | Deprecated annotations should include explanations
Code Smell       | Regular expression quantifiers and character classes should be used concisely
Security Hotspot | Constructing arguments of system commands from user input is security-sensitive
Code Smell       | Regular expressions should not contain empty groups
Code Smell       | Regular expressions should not contain multiple spaces
Bug              | Unsupported methods should not be called on some collection implementations
Bug              | Cast operations should not trigger a ClassCastException
Vulnerability    | Mobile database encryption keys should not be disclosed
Security Hotspot | Using unencrypted files in mobile applications is security-sensitive
Security Hotspot | Using biometric authentication without a cryptographic solution is security-sensitive
Security Hotspot | Using unencrypted databases in mobile applications is security-sensitive
Security Hotspot | Authorizing non-authenticated users to use keys in the Android KeyStore is security-sensitive
Vulnerability    | Applications should not create session cookies from untrusted input
Security Hotspot | Using long-term access keys is security-sensitive
Code Smell       | AWS region should not be set with a hardcoded String
Code Smell       | Lambdas should not invoke other lambdas synchronously
Code Smell       | Consumer Builders should be used
Code Smell       | Reusable resources should be initialized at construction time of Lambda functions
Code Smell       | Credentials Provider should be set explicitly when creating a new "AwsClient"
Code Smell       | Region should be set explicitly when creating a new "AwsClient"
Code Smell       | 'serialVersionUID' field should not be set to '0L' in records
Bug              | Equals method should be overridden in records containing array fields
Code Smell       | Permitted types of a sealed class should be omitted if they are declared in the same file
Bug              | Reflection should not be used to increase accessibility of records' fields
Code Smell       | Restricted Identifiers should not be used as Identifiers
Code Smell       | Local-Variable Type Inference should be used
Code Smell       | Custom getter method should not be used to override record's getter behavior
Bug              | Members ignored during record serialization should not be used
Code Smell       | Comma-separated labels should be used in Switch with colon case
Code Smell       | Redundant constructors/methods should be avoided in records
Code Smell       | Records should be used instead of ordinary classes when representing immutable data structure
Code Smell       | Switch arrow labels should not use redundant keywords
Code Smell       | "Stream.toList()" method should be used instead of "collectors" when unmodifiable list needed
Code Smell       | Text blocks should not be used in complex expressions
Code Smell       | Operator "instanceof" should be used instead of "A.class.isInstance()"
Code Smell       | Pattern Matching for "instanceof" operator should be used instead of simple "instanceof" + cast
Vulnerability    | Reflection should not be vulnerable to injection attacks
Code Smell       | String multiline concatenation should be replaced with Text Blocks
Bug              | Map "computeIfAbsent()" and "computeIfPresent()" should not be used to add "null" values.
Bug              | AssertJ assertions with "Consumer" arguments should contain assertion inside consumers
Vulnerability    | Extracting archives should not lead to zip slip vulnerabilities
Bug              | Mockito argument matchers should be used on all parameters
Bug              | The regex escape sequence \cX should only be used with characters in the @-_ range
Code Smell       | Call to Mockito method "verify", "when" or "given" should be simplified
Code Smell       | Single-character alternations in regular expressions should be replaced with character classes
Code Smell       | Reluctant quantifiers in regular expressions should be followed by an expression that can't match the empty string
Bug              | Regex lookahead assertions should not be contradictory
Bug              | Back references in regular expressions should only refer to capturing groups that are matched before the reference
Bug              | Regular expressions should not overflow the stack
Bug              | Regex boundaries should not be used in a way that can never be matched
Bug              | Regex patterns following a possessive quantifier should not always fail
Code Smell       | Constructors of an "abstract" class should not be declared "public"
Bug              | Annotated Mockito objects should be initialized
Code Smell       | Tests should use fixed data instead of randomized data
Code Smell       | Similar tests should be grouped in a single Parameterized test
Code Smell       | Tests should be stable
Code Smell       | Spring's ModelAndViewAssert assertions should be used instead of other assertions
Code Smell       | Mocking all non-private methods of a class should be avoided
Bug              | Tests method should not be annotated with competing annotations
Code Smell       | Test methods should not contain too many assertions
Bug              | Assertions should not be used in production code
Code Smell       | AssertJ "assertThatThrownBy" should not be used alone
Bug              | DateTimeFormatters should not use mismatched year and week numbers
Vulnerability    | OS commands should not be vulnerable to argument injection attacks
Vulnerability    | A new session should be created during user authentication
Code Smell       | Character classes in regular expressions should not contain the same character twice
Bug              | Unicode Grapheme Clusters should be avoided inside regex character classes
Code Smell       | Unicode-aware versions of character classes should be preferred
Bug              | Case insensitive Unicode regular expressions should enable the "UNICODE_CASE" flag
Bug              | Assertions should not compare an object to itself
Code Smell       | Names of regular expressions named groups should be used
Code Smell       | Character classes should be preferred over reluctant quantifiers in regular expressions
Bug              | Regular expressions should be syntactically valid
Bug              | Regex alternatives should not be redundant
Code Smell       | Regexes containing characters subject to normalization should use the CANON_EQ flag
Code Smell       | Consecutive AssertJ "assertThat" statements should be chained
Security Hotspot | Using slow regular expressions is security-sensitive
Bug              | Alternatives in regular expressions should be grouped when used with anchors
Code Smell       | Empty lines should not be tested with regex MULTILINE flag
Bug              | Assertions comparing incompatible types should not be made
Code Smell       | Regular expressions should not be too complicated
Bug              | Repeated patterns in regular expressions should not match the empty string
Bug              | AssertJ assertions "allMatch" and "doesNotContains" should also test for emptiness
Code Smell       | Chained AssertJ assertions should be simplified to the corresponding dedicated assertion
Bug              | AssertJ methods setting the assertion context should come before an assertion
Bug              | AssertJ configuration should be applied
Code Smell       | Methods setUp() and tearDown() should be correctly annotated starting with JUnit4
Bug              | JUnit5 test classes and methods should not be silently ignored
Vulnerability    | Authorizations should be based on strong decisions
Security Hotspot | Allowing user enumeration is security-sensitive
Code Smell       | Class members annotated with "@VisibleForTesting" should not be accessed from production code
Code Smell       | Migrate your tests from JUnit4 to the new JUnit5 annotations
Bug              | JUnit5 inner test classes should be annotated with @Nested
Code Smell       | JUnit5 test classes and methods should have default package visibility
Code Smell       | JUnit assertTrue/assertFalse should be simplified to the corresponding dedicated assertion
Bug              | Only one method invocation is expected when testing checked exceptions
Bug              | Assertion methods should not be used within the try block of a try-catch catching an Error
Code Smell       | Only one method invocation is expected when testing runtime exceptions
Code Smell       | Exception testing via JUnit @Test annotation should be avoided
Code Smell       | Exception testing via JUnit ExpectedException rule should not be mixed with other assertions
Code Smell       | "@Deprecated" code marked for removal should never be used
Security Hotspot | Allowing requests with excessive content length is security-sensitive
Security Hotspot | Disclosing fingerprints from web application technologies is security-sensitive
Vulnerability    | OpenSAML2 should be configured to prevent authentication bypass
Code Smell       | Vararg method arguments should not be confusing
Code Smell       | Escape sequences should not be used in text blocks
Code Smell       | Whitespace for text block indent should be consistent
Code Smell       | Simple string literal should be used for single line strings
Vulnerability    | JWT should be signed and verified with strong cipher algorithms
Code Smell       | Lambdas should not have too many lines
Vulnerability    | Cipher algorithms should be robust
Vulnerability    | Encryption algorithms should be used with secure mode and padding scheme
Vulnerability    | Server hostnames should be verified during SSL/TLS connections
Vulnerability    | Server-side templates should not be vulnerable to injection attacks
Vulnerability    | Insecure temporary file creation methods should not be used
Security Hotspot | Using publicly writable directories is security-sensitive
Code Smell       | 'List.remove()' should not be used in ascending 'for' loops
Code Smell       | Avoid using boxed "Boolean" types directly in boolean expressions
Code Smell       | "String#replace" should be preferred to "String#replaceAll"
Vulnerability    | Passwords should not be stored in plaintext or with a fast hashing algorithm
Vulnerability    | Dynamic code execution should not be vulnerable to injection attacks
Security Hotspot | Using clear-text protocols is security-sensitive
Code Smell       | Collection constructors should not be used as java.util.function.Function
Security Hotspot | Accessing Android external storage is security-sensitive
Security Hotspot | Receiving intents is security-sensitive
Security Hotspot | Broadcasting intents is security-sensitive
Vulnerability    | "ActiveMQConnectionFactory" should not be vulnerable to malicious code deserialization
Code Smell       | "else" statements should be clearly matched with an "if"
Security Hotspot | Disabling auto-escaping in template engines is security-sensitive
Code Smell       | Use Java 14 "switch" expression
Bug              | "ThreadLocal" variables should be cleaned up when no longer used
Vulnerability    | NoSQL operations should not be vulnerable to injection attacks
Vulnerability    | HTTP request redirections should not be open to forging attacks
Vulnerability    | Logging should not be vulnerable to injection attacks
Vulnerability    | Server-side requests should not be vulnerable to forging attacks
Vulnerability    | Deserialization should not be vulnerable to injection attacks
Vulnerability    | Endpoints should not be vulnerable to reflected cross-site scripting (XSS) attacks
Code Smell       | "Bean Validation" (JSR 380) should be properly configured
Security Hotspot | Having a permissive Cross-Origin Resource Sharing policy is security-sensitive
Security Hotspot | Expanding archive files without controlling resource consumption is security-sensitive
Code Smell       | Type parameters should not shadow other type parameters
Bug              | Strings and Boxed types should be compared using "equals()"
Code Smell       | Derived exceptions should not hide their parents' catch blocks
Code Smell       | The upper bound of type variables and wildcards should not be "final"
Code Smell       | "read(byte[],int,int)" should be overridden
Code Smell       | "serialVersionUID" should not be declared blindly
Code Smell       | "Class.forName()" should not load JDBC 4.0+ drivers
Code Smell       | An iteration on a Collection should be performed on the type handled by the Collection
Vulnerability    | Server certificates should be verified during SSL/TLS connections
Security Hotspot | Configuring loggers is security-sensitive
Security Hotspot | Using weak hashing algorithms is security-sensitive
Code Smell       | Java features should be preferred to Guava
Code Smell       | "StandardCharsets" constants should be preferred
Vulnerability    | Persistent entities should not be used as arguments of "@RequestMapping" methods
Code Smell       | "@CheckForNull" or "@Nullable" should not be used on primitive types
Code Smell       | String offset-based methods should be preferred for finding substrings from offsets
Code Smell       | Spring beans should be considered by "@ComponentScan"
Code Smell       | "@EnableAutoConfiguration" should be fine-tuned
Bug              | "@SpringBootApplication" and "@ComponentScan" should not be used in the default package
Vulnerability    | "HttpSecurity" URL patterns should be correctly ordered
Code Smell       | Enum values should be compared with "=="
Security Hotspot | Using unsafe Jackson deserialization configuration is security-sensitive
Code Smell       | "default" clauses should be last
Bug              | InputSteam.read() implementation should not return a signed byte
Security Hotspot | Setting JavaBean properties is security-sensitive
Security Hotspot | Delivering code in production with debug features activated is security-sensitive
Security Hotspot | Disabling CSRF protections is security-sensitive
Code Smell       | Composed "@RequestMapping" variants should be preferred
Code Smell       | "equals" method parameters should not be marked "@Nonnull"
Code Smell       | Nullness of parameters should be guaranteed
Security Hotspot | Allowing deserialization of LDAP objects is security-sensitive
Vulnerability    | LDAP connections should be authenticated
Vulnerability    | Cryptographic keys should be robust
Code Smell       | "Integer.toHexString" should not be used to build hexadecimal strings
Vulnerability    | Weak SSL/TLS protocols should not be used
Bug              | "compareTo" should not be overloaded
Code Smell       | "write(byte[],int,int)" should be overridden
Bug              | "iterator" should not return "this"
Vulnerability    | Secure random number generators should not output predictable values
Code Smell       | Spring components should use constructor injection
Code Smell       | Functional Interfaces should be as specialised as possible
Bug              | Getters and setters should access the expected fields
Code Smell       | Asserts should not be used to check the parameters of a public method
Code Smell       | "Stream.collect()" calls should not be redundant
Code Smell       | Regex patterns should not be created needlessly
Code Smell       | Null checks should not be used with "instanceof"
Code Smell       | Local constants should follow naming conventions for constants
Code Smell       | Assignments should not be redundant
Code Smell       | Methods should not have identical implementations
Bug              | Map values should not be replaced unconditionally
Code Smell       | "close()" calls should not be redundant
Code Smell       | "ThreadLocal.withInitial" should be preferred
Code Smell       | "java.nio.Files#delete" should be preferred
Security Hotspot | Searching OS commands in PATH is security-sensitive
Code Smell       | "Stream" call chains should be simplified when possible
Code Smell       | Packages containing only "package-info.java" should be removed
Code Smell       | Track uses of disallowed constructors
Bug              | Week Year ("YYYY") should not be used for date formatting
Code Smell       | Unused "private" classes should be removed
Bug              | Exceptions should not be created without being thrown
Bug              | Collection sizes and array length comparisons should make sense
Code Smell       | A conditionally executed single line should be denoted by indentation
Code Smell       | Conditionals should start on new lines
Bug              | Consumed Stream pipelines should not be reused
Bug              | Intermediate Stream methods should not be left unused
Code Smell       | Number patterns should be regular
Bug              | All branches in a conditional structure should not have exactly the same implementation
Code Smell       | Arrays should not be created for varargs parameters
Code Smell       | "Stream.peek" should be used with caution
Code Smell       | "Map.get" and value test should be replaced with single method call
Code Smell       | Cognitive Complexity of methods should not be too high
Bug              | "@Controller" classes that use "@SessionAttributes" must call "setComplete" on their "SessionStatus" objects
Security Hotspot | Allowing both safe and unsafe HTTP methods is security-sensitive
Code Smell       | "@RequestMapping" methods should not be "private"
Bug              | Spring "@Controller" classes should not use "@Scope"
Code Smell       | Members of Spring components should be injected
Code Smell       | Raw types should not be used
Code Smell       | Java 8's "Files.exists" should not be used
Code Smell       | Track uses of disallowed classes
Code Smell       | Unit tests should throw exceptions
Bug              | Optional value should only be accessed after calling isPresent()
Vulnerability    | Database queries should not be vulnerable to injection attacks
Code Smell       | "Arrays.stream" should be used for primitive arrays
Code Smell       | Jump statements should not be redundant
Bug              | Double Brace Initialization should not be used
Code Smell       | Test methods should comply with a naming convention
Code Smell       | Test classes should comply with a naming convention
Code Smell       | "Optional" should not be used for parameters
Bug              | Overrides should match their parent class methods in synchronization
Bug              | Custom resources should be closed
Bug              | Zero should not be a possible denominator
Code Smell       | Methods returns should not be invariant
Code Smell       | Format strings should be used correctly
Code Smell       | Value-based objects should not be serialized
Bug              | Value-based classes should not be used for locking
Code Smell       | Loggers should be named for their enclosing classes
Code Smell       | Assertion arguments should be passed in the correct order
Code Smell       | Tests should be kept in a dedicated source directory
Code Smell       | Methods should not return constants
Code Smell       | "private" methods called only by inner classes should be moved to those classes
Code Smell       | "this" should not be exposed from constructors
Code Smell       | Ternary operators should not be nested
Bug              | Expressions used in "assert" should not produce side effects
Security Hotspot | Creating cookies without the "HttpOnly" flag is security-sensitive
Vulnerability    | Cipher Block Chaining IVs should be unpredictable
Bug              | Constructor injection should be used instead of field injection
Code Smell       | Factory method injection should be used in "@Configuration" classes
Code Smell       | Default annotation parameter values should not be passed as arguments
Code Smell       | "static" base class members should not be accessed via derived types
Code Smell       | Method parameters should be declared with base types
Bug              | "volatile" variables should not be used with compound operators
Bug              | Non-primitive fields should not be "volatile"
Bug              | "getClass" should not be used for synchronization
Code Smell       | "enum" fields should not be publicly mutable
Bug              | Min and max used in combination should not always return the same value
Bug              | Assignment of lazy-initialized members should be the last step with double-checked locking
Code Smell       | Fields should not be initialized to default values
Code Smell       | Multiple loops over the same set should be combined
Bug              | "wait" should not be called when multiple locks are held
Code Smell       | "writeObject" should not be the only "synchronized" code in a class
Bug              | Indexes to passed to "String" operations should be within the string's bounds
Code Smell       | Abstract methods should not be redundant
Bug              | Raw byte values should not be used in bitwise operations in combination with shifts
Bug              | JEE applications should not "getClassLoader"
Code Smell       | Classes should not have too many "static" imports
Bug              | "Collection.toArray()" should be passed an array of the proper type
Code Smell       | "ThreadGroup" should not be used
Code Smell       | Arrays and lists should not be copied using loops
Code Smell       | Reflection should not be used to increase accessibility of classes, methods, or fields
Code Smell       | Static fields should not be updated in constructors
Code Smell       | Static non-final field names should comply with a naming convention
Code Smell       | "clone" should not be overridden
Code Smell       | Classes without "public" constructors should be "final"
Code Smell       | Escaped Unicode characters should not be used
Code Smell       | Inner classes should not have too many lines of code
Code Smell       | Assertions should be complete
Code Smell       | Unnecessary semicolons should be omitted
Code Smell       | "Thread.sleep" should not be used in tests
Code Smell       | JUnit rules should be used
Bug              | Getters and setters should be synchronized in pairs
Bug              | Non-thread-safe fields should not be static
Code Smell       | "entrySet()" should be iterated when both the key and value are needed
Bug              | "null" should not be used with "Optional"
Code Smell       | Nested "enum"s should not be declared static
Bug              | Unary prefix operators should not be repeated
Bug              | Non-existent operators like "=+" should not be used
Vulnerability    | XML parsers should not be vulnerable to XXE attacks
Code Smell       | "catch" clauses should do more than rethrow
Code Smell       | "DateUtils.truncate" from Apache Commons Lang library should not be used
Code Smell       | Literal boolean values and nulls should not be used in assertions
Code Smell       | Tests should include assertions
Code Smell       | Test assertions should include messages
Code Smell       | Instance methods should not write to "static" fields
Bug              | "PreparedStatement" and "ResultSet" methods should be called with valid indices
Code Smell       | Inner classes which do not reference their owning classes should be "static"
Code Smell       | Threads should not be started in constructors
Code Smell       | "indexOf" checks should not be for positive numbers
Bug              | Files opened in append mode should not be used with "ObjectOutputStream"
Code Smell       | Multiline blocks should be enclosed in curly braces
Bug              | "read" and "readLine" return values should be used
Bug              | "Math.abs" and negation should not be used on numbers that could be "MIN_VALUE"
Code Smell       | "readObject" should not be "synchronized"
Bug              | The value returned from a stream read should be checked
Vulnerability    | Classes should not be loaded dynamically
Vulnerability    | Basic authentication should not be used
Bug              | Inappropriate regular expressions should not be used
Code Smell       | Method overrides should not change contracts
Bug              | "@NonNull" values should not be set to null
Vulnerability    | Regular expressions should not be vulnerable to Denial of Service attacks
Code Smell       | "Preconditions" and logging arguments should not require evaluation
Security Hotspot | Setting loose POSIX file permissions is security-sensitive
Code Smell       | Boolean expressions should not be gratuitous
Bug              | Conditionally executed code should be reachable
Code Smell       | Whitespace and control characters in literals should be explicit
Code Smell       | "null" should not be returned from a "Boolean" method
Bug              | "notifyAll()" should be preferred over "notify()"
Bug              | Blocks should be synchronized on "private final" fields
Code Smell       | Lazy initialization of "static" fields should be "synchronized"
Code Smell       | Synchronizing on a "Lock" object should be avoided
Bug              | Non-serializable objects should not be stored in "javax.servlet.http.HttpSession" instances
Code Smell       | Classes with only "static" methods should not be instantiated
Code Smell       | "Thread" should not be used where a "Runnable" argument is expected
Code Smell       | Unnecessary bit operations should not be performed
Bug              | Classes should not access their own subclasses during class initialization
Code Smell       | Inner class calls to super class methods should be unambiguous
Code Smell       | Child class fields should not shadow parent class fields
Code Smell       | Mutable fields should not be "public static"
Code Smell       | Private mutable members should not be stored or returned directly
Code Smell       | Redundant modifiers should not be used
Code Smell       | Unused type parameters should be removed
Code Smell       | "private" and "final" methods that don't access instance data should be "static"
Code Smell       | Files should not be empty
Code Smell       | "deleteOnExit" should not be used
Code Smell       | Public methods should not contain selector arguments
Code Smell       | The diamond operator ("<>") should be used
Bug              | "wait(...)" should be used instead of "Thread.sleep(...)" when a lock is held
Bug              | Printf-style format strings should not lead to unexpected behavior at runtime
Code Smell       | "Object.wait(...)" and "Condition.await(...)" should be called inside a "while" loop
Bug              | "Object.wait()", "Object.notify()" and "Object.notifyAll()" should only be called from synchronized code
Bug              | "Iterator.next()" methods should throw "NoSuchElementException"
Code Smell       | Java parser failure
Bug              | Null pointers should not be dereferenced
Security Hotspot | Using non-standard cryptographic algorithms is security-sensitive
Vulnerability    | "HttpServletRequest.getRequestedSessionId()" should not be used
Code Smell       | Track uses of disallowed methods
Bug              | Loop conditions should be true at least once
Bug              | A "for" loop update clause should move the counter in the right direction
Code Smell       | Collection methods with O(n) performance should be used carefully
Security Hotspot | Using pseudorandom number generators (PRNGs) is security-sensitive
Bug              | Methods "wait(...)", "notify()" and "notifyAll()" should not be called on Thread instances
Code Smell       | "IllegalMonitorStateException" should not be caught
Code Smell       | Parameters should be passed in the correct order
Code Smell       | "ResultSet.isLast()" should not be used
Bug              | Methods with Spring proxying annotations should be public
Bug              | Methods should not call same-class methods with incompatible "@Transactional" values
Bug              | Servlets should not have mutable instance fields
Bug              | "toString()" and "clone()" methods should not return null
Bug              | Locks should be released on all paths
Code Smell       | "Exception" should not be caught when not required by called methods
Code Smell       | Types should be used in lambdas
Code Smell       | "static" members should be accessed statically
Code Smell       | Wildcard imports should not be used
Bug              | ".equals()" should not be used to test the values of "Atomic" classes
Code Smell       | "collect" should be used with "Streams" instead of "list::add"
Bug              | Return values from functions without side effects should not be ignored
Bug              | "compareTo" results should not be checked for specific values
Code Smell       | Modulus results should not be checked for direct equality
Code Smell       | Switches should be used for sequences of simple "String" tests
Bug              | Recursion should not be infinite
Bug              | Loops should not be infinite
Code Smell       | JUnit test cases should call super methods
Code Smell       | TestCases should contain tests
Code Smell       | JUnit assertions should not be used in "run" methods
Code Smell       | Do not perform unnecessary mathematical operations
Bug              | Math operands should be cast before assignment
Bug              | Ints and longs should not be shifted by zero or more than their number of bits-1
Code Smell       | Short-circuit logic should be used in boolean contexts
Bug              | Child class methods named for parent class methods should be overrides
Code Smell       | Class names should not shadow interfaces or superclasses
Bug              | Inappropriate "Collection" calls should not be made
Bug              | Double-checked locking should not be used
Bug              | "compareTo" should not return "Integer.MIN_VALUE"
Code Smell       | Classes named like "Exception" should extend "Exception" or a subclass
Code Smell       | "finalize" should not set fields to "null"
Bug              | Math should not be performed on floats
Bug              | "equals" methods should be symmetric and work for subclasses
Code Smell       | Subclasses that add fields to classes that override "equals" should also override "equals"
Bug              | Unnecessary equality checks should not be made
Code Smell       | "Cloneables" should implement "clone"
Code Smell       | "final" classes should not have "protected" members
Bug              | Dissimilar primitive wrappers should not be used with the ternary operator without explicit casting
Bug              | Unnecessary boxing and unboxing should be avoided
Bug              | "runFinalizersOnExit" should not be called
Code Smell       | Underscores should be used to make large numbers readable
Code Smell       | Catches should be combined
Code Smell       | "java.time" classes should be used for dates and times
Bug              | "InterruptedException" and "ThreadDeath" should not be ignored
Bug              | Classes that don't define "hashCode()" should not be used in hashes
Code Smell       | Methods of "Random" that return floating point values should not be used in random integer generation
Code Smell       | Exceptions should be either logged or rethrown but not both
Bug              | Classes extending java.lang.Thread should provide a specific "run" behavior
Code Smell       | Objects should not be created only to invoke "getClass"
Code Smell       | Primitives should not be boxed just for "String" conversion
Code Smell       | Parsing should be used to convert "Strings" to primitives
Code Smell       | Constructors should not be used to instantiate "String", "BigInteger", "BigDecimal" and primitive-wrapper classes
Bug              | "Double.longBitsToDouble" should take "long" as argument
Bug              | Values should not be uselessly incremented
Bug              | "ScheduledThreadPoolExecutor" should not have 0 core threads
Bug              | String operations with predictable outcomes should be avoided
Bug              | "Random" objects should be reused
Bug              | "writeObject" argument must implement "Serializable"
Bug              | "hashCode" and "toString" should not be called on array instances
Vulnerability    | A secure password should be used when connecting to a database
Bug              | Collections should not be passed as arguments to their own methods
Code Smell       | "URL.hashCode" and "URL.equals" should be avoided
Bug              | "BigDecimal(double)" should not be used
Bug              | Invalid "Date" values should not be used
Bug              | Reflection should not be used to check non-runtime annotations
Bug              | "equals(Object obj)" should test the argument's type
Code Smell       | "main" should not "throw" anything
Bug              | Resources should be closed
Code Smell       | Classes should not be empty
Code Smell       | Try-with-resources should be used
Security Hotspot | Creating cookies without the "secure" flag is security-sensitive
Vulnerability    | XPath expressions should not be vulnerable to injection attacks
Vulnerability    | I/O function calls should not be vulnerable to path injection attacks
Vulnerability    | LDAP queries should not be vulnerable to injection attacks
Security Hotspot | Formatting SQL queries is security-sensitive
Vulnerability    | OS commands should not be vulnerable to command injection attacks
Security Hotspot | Hard-coded passwords are security-sensitive
Bug              | "Serializable" inner classes of non-serializable outer classes should be "static"
Code Smell       | Fields in non-serializable classes should not be "transient"
Code Smell       | Comparators should be "Serializable"
Code Smell       | "readResolve" methods should be inheritable
Bug              | Custom serialization methods should have required signatures
Bug              | "Externalizable" classes should have no-arguments constructors
Code Smell       | "Serializable" inner classes of "Serializable" classes should be static
Code Smell       | "Serializable" classes should have a "serialVersionUID"
Bug              | The non-serializable super class of a "Serializable" class should have a no-argument constructor
Vulnerability    | Password hashing functions should use an unpredictable salt
Code Smell       | The names of methods with boolean return values should start with "is" or "has"
Code Smell       | Member variable visibility should be specified
Code Smell       | Files should contain only one top-level class or interface each
Code Smell       | "for" loop increment clauses should modify the loops' counters
Vulnerability    | Exceptions should not be thrown from servlet methods
Code Smell       | Fields in a "Serializable" class should either be transient or serializable
Code Smell       | Classes and methods that rely on the default system encoding should not be used
Code Smell       | Simple class names should be used
Code Smell       | Variables should not be declared before they are relevant
Code Smell       | Boolean checks should not be inverted
Code Smell       | Extensions and implementations should not be redundant
Code Smell       | Redundant casts should not be used
Code Smell       | "@Deprecated" code should not be used
Bug              | Classes should not be compared by name
Code Smell       | Two branches in a conditional structure should not have exactly the same implementation
Bug              | Related "if/else if" statements should not have the same condition
Bug              | Synchronization should not be done on instances of value-based classes
Code Smell       | "toString()" should never be called on a String object
Code Smell       | Unused assignments should be removed
Bug              | "Iterator.hasNext()" should not call "Iterator.next()"
Code Smell       | Methods and field names should not be the same or differ only by capitalization
Code Smell       | "Object.wait" should not be called on objects that implement "java.util.concurrent.locks.Condition"
Code Smell       | "switch" statements and expressions should not be nested
Code Smell       | Classes should not have too many fields
Code Smell       | The ternary operator should not be used
Bug              | Identical expressions should not be used on both sides of a binary operator
Bug              | Loops with at most one iteration should be refactored
Code Smell       | Standard functional interfaces should not be redefined
Code Smell       | Annotation repetitions should not be wrapped
Code Smell       | A field should not duplicate the name of its containing class
Code Smell       | Constructors should only call non-overridable methods
