RuleID | Rule Name | Priority | Include/Exclude | Justification
S5845 | "Optional" should not be used in "if" conditions | MINOR | Exclude | Style preference
S5846 | "Optional.get()" should not be called on optional values created with "Optional.of()" | MAJOR | Include | NPE prevention
S5850 | "printStackTrace()" should not be called | MAJOR | Include | Logging best practice
S5852 | Arrays should not be copied using loops | MINOR | Include | Performance
S5853 | Consecutive AssertJ assertions should be chained | MINOR | Exclude | Test style
S5855 | "Optional.of()" should not be used with null values | BLOCKER | Include | Runtime crashes
S5856 | "StringBuilder" capacity should not be arbitrary | MINOR | Exclude | Performance minor
S5857 | "MutableHttpServletRequest" should not be used | MAJOR | Include | Security concern
S5860 | Assertions should not be used in production code | MAJOR | Include | Production quality
S5863 | "String.replace" should be used with single characters | MINOR | Include | Performance
S5866 | "Date" should not be used | MAJOR | Include | Modern Java practice
S5868 | Spring "@Value" field injection should not be used | MINOR | Exclude | Framework style
S5869 | "File.separator" should not be used in path literals | MINOR | Exclude | Style preference
S5876 | "Session.invalidate" should be called first when creating a new session | CRITICAL | Include | Security
S5879 | Static fields should not be used in servlet classes | MAJOR | Include | Threading safety
S5899 | Methods returning a boolean should not return null | MAJOR | Include | API clarity
S5900 | "StringBuilder.length()" should not be used in concatenation loops | MINOR | Include | Performance
S5917 | "ThreadLocal.withInitial()" should be preferred | MINOR | Exclude | Modern style
S5958 | Stream.collect(Collectors.toList()) should be simplified to Stream.toList() | MINOR | Exclude | Style only
S5960 | Assertions should not compare an object to itself | MAJOR | Include | Test quality
S5961 | Test methods should not contain too many assertions | MINOR | Exclude | Test style
S5967 | Fields in a "Serializable" class should be serializable | MAJOR | Include | Serialization
S5969 | Mocking all methods of an object is suspicious | MAJOR | Include | Test design
S5970 | "Optional.isPresent()" should be replaced with "isEmpty()" | MINOR | Exclude | Style preference
S5973 | String concatenation should not be used in logging calls | MINOR | Include | Performance
S5976 | "parallelStream()" should not be used in tests | MAJOR | Include | Test reliability
S5977 | "Stream.parallel()" should not be used in tests | MAJOR | Include | Test reliability
S5979 | "switch" statements should have at least 3 "case" clauses | MINOR | Exclude | Style preference
S5993 | "SuppressWarnings" should not be used on test methods | MINOR | Exclude | Test style
S5994 | Boolean literals should not be redundant | MINOR | Exclude | Style preference
S5996 | "RegexPatternCache" should be used | MINOR | Include | Performance
S5998 | "Stream.collect()" calls should not be redundant | MINOR | Include | Performance
S6000 | "charAt(0)" should not be used to check empty strings | MINOR | Include | Best practice
S6001 | "Collection.removeAll()" should not be used | MINOR | Include | Performance
S6002 | "Map.get()" should not be followed by "Map.containsKey()" | MINOR | Include | Performance
S6004 | "Collection.size()" should not be compared to 0 | MINOR | Exclude | Style preference
S6005 | "Collection.stream()" should be preferred to "Collection.parallelStream()" | MAJOR | Include | Performance
S6019 | "null" should not be used with "Optional" | MAJOR | Include | API misuse
S6035 | Spring framework annotations should not be used on interfaces | MAJOR | Include | Framework usage
S6068 | Null-checks on primitives are useless | MAJOR | Include | Logic error
S6070 | Non-null fields should not be initialized to null | MAJOR | Include | Null safety
S6073 | Spring configuration classes should not use field injection | MINOR | Exclude | Framework style
S6103 | "Collection.contains()" should not be used on potential streams | MINOR | Include | Performance
S6104 | "Collection.stream().count()" should be replaced with "Collection.size()" | MINOR | Include | Performance
S6126 | "Stream.collect()" should be simplified to "Stream.toList()" | MINOR | Exclude | Style only
S6201 | "equals(Object obj)" should test argument type | MAJOR | Include | Contract violation
S6202 | Mutable fields should not be "public" | MAJOR | Include | Encapsulation
S6203 | Collection method contracts should be respected | MAJOR | Include | API correctness
S6204 | "Collection.clear()" should be preferred to removing elements one by one | MINOR | Include | Performance
S6205 | String literals should be placed on the left side | MINOR | Exclude | Style preference
S6206 | Methods returning streams should not be empty | MAJOR | Include | API design
S6207 | Redundant stream collectors should be simplified | MINOR | Exclude | Style preference
S6208 | LocalVariables should not shadow class fields | MAJOR | Include | Code clarity
S6209 | "Collection.removeAll()" should be used with caution | MAJOR | Include | Performance impact
S6211 | Local variables should not shadow fields | MAJOR | Include | Code clarity
S6212 | "Stream.collect()" calls should be simplified | MINOR | Exclude | Style preference
S6213 | "Collection.removeIf()" should be used instead of manual iteration | MINOR | Include | Performance
S6214 | "Stream.collect()" should be simplified when possible | MINOR | Exclude | Style preference
S6216 | "Stream.collect()" calls should be chainable | MINOR | Exclude | Style preference
S6217 | "Collection.stream().count()" should be replaced with "Collection.size()" | MINOR | Include | Performance
S6218 | "Collection.stream().anyMatch()" should be replaced with "Collection.contains()" | MINOR | Include | Performance
S6219 | "Collection.stream().noneMatch()" should be replaced with "!Collection.contains()" | MINOR | Include | Performance
S6288 | "Collection.removeIf()" should be preferred | MINOR | Include | Performance
S6291 | "Arrays.asList()" should not be used to create empty lists | MINOR | Include | Performance
S6293 | "Collection.stream().filter().findFirst()" should be replaced with "Collection.stream().find()" | MINOR | Include | Performance
S6294 | "Collection.stream().map().findFirst()" should be replaced with "Collection.stream().findFirst().map()" | MINOR | Include | Performance
S6296 | "Collection.stream().map().collect()" should be replaced with "Collection.stream().collect(mapping())" | MINOR | Exclude | Style preference
S6300 | "Collection.stream().collect()" calls should be replaced with "Collection.stream().toList()" | MINOR | Exclude | Style preference
S6301 | "Optional.map().orElse(null)" should be replaced with "Optional.orElse(null)" | MINOR | Include | Performance
S6302 | "Optional.filter().map()" should be replaced with "Optional.map().filter()" | MINOR | Include | Performance
S6303 | "Collection.stream().filter().map()" should be replaced with "Collection.stream().map().filter()" | MINOR | Include | Performance
S6304 | "Collection.stream().map().filter()" should be replaced with "Collection.stream().filter().map()" | MINOR | Include | Performance
S6305 | "Spring @Autowired" annotations should be used on constructor injection | MINOR | Exclude | Framework style
S6306 | "Collection.stream().forEach()" should be replaced with "Collection.forEach()" | MINOR | Include | Performance
S6307 | "Optional.isPresent()" checks should not be followed by "Optional.get()" | MAJOR | Include | API misuse
S6308 | "assertThrows" should be used | MAJOR | Include | Test robustness
S6309 | "Tests" should include assertions | MAJOR | Include | Test quality
S6310 | "Collection.stream().collect()" calls should be simplified | MINOR | Exclude | Style preference
S6311 | "Spring @Value" annotations should be used on constructor parameters | MINOR | Exclude | Framework style
S6312 | "Spring @Autowired" fields should be made final | MINOR | Exclude | Framework style
S6313 | "Spring @Value" fields should be made final | MINOR | Exclude | Framework style
S6314 | "Spring @Scheduled" methods should be void and parameterless | MAJOR | Include | Framework requirement
S6315 | "Spring @Async" methods should have void or Future return type | MAJOR | Include | Framework requirement
S6316 | "Spring @Transactional" should not be used on private methods | MAJOR | Include | Framework requirement
S6317 | "Spring @Transactional" should specify readOnly attribute | MINOR | Exclude | Framework style
S6318 | "Spring @Transactional" should not be used on methods that don't access the database | MAJOR | Include | Framework misuse
S6319 | "JPA @Version" fields should be private | MINOR | Exclude | Framework style
S6320 | "JPA @Id" fields should be private | MINOR | Exclude | Framework style
S6321 | "JPA @Column" should specify name attribute | MINOR | Exclude | Framework style
S6322 | "JPA @Table" should specify name attribute | MINOR | Exclude | Framework style
S6323 | "JPA @Entity" should specify name attribute | MINOR | Exclude | Framework style
S6324 | "JPA @OneToMany" and "@ManyToMany" should set fetch type to LAZY | MAJOR | Include | Performance
S6325 | "JPA @OneToOne" and "@ManyToOne" should set optional attribute | MAJOR | Include | Data integrity
S6326 | "JPA @ElementCollection" should set fetch type to LAZY | MAJOR | Include | Performance
S6327 | "JPA @Basic" should set fetch type to LAZY for large objects | MAJOR | Include | Performance
S6328 | "JPA @Version" should be used on entities | MAJOR | Include | Concurrency
S6329 | "JPA @Id" should be used on entities | BLOCKER | Include | Data integrity
S6330 | "JPA @GeneratedValue" should be used with @Id | MAJOR | Include | Data integrity
